Unnamed: 0	audios	text	without_lm	with_lm
16	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0016.wav	oh papa by that testing everything by the standard of wealth	oh papa by that testing everything by the standard of wealth	oh papa by that testing everything by the standard of wealth
17	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0017.wav	when he spoke of the mechanical powers he evidently looked upon them only as new ways of extending trade and making money	when he spoke of the mechanical powers he evidently looked upon them only as new ways of extending trade and making money	when he spoke of the mechanical powers he evidently looked upon them only as new ways of extending trade and making money
18	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0018.wav	and the poor men around him they were poor because they were vicious out of the pale of his sympathies because they had not his iron nature and the capabilities that it gives him for being rich	and the poor men around him they were poor because they were vicious out of the pale of his sympathies because they had not his iron nature and the capabilities that it gives him for being rich	and the poor men around him they were poor because they were vicious out of the pale of his sympathies because they had not his iron nature and the capabilities that it gives him for being rich
19	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0019.wav	not vicious he never said that	not vicious he never said that	not vicious he never said that
20	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0020.wav	improvident and self indulgent were his words	improvident and self indulgent were his words	improvident and self indulgent were his words
21	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0021.wav	margaret was collecting her mother's working materials and preparing to go to bed	margaret was collecting her mother's working materials and preparing to go to bed	margaret was collecting her mother's working materials and preparing to go to bed
22	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0022.wav	just as she was leaving the room she hesitated she was inclined to make an acknowledgment which she thought would please her father but which to be full and true must include a little annoyance	just as she was leaving the room she hesitated she was inclined to make an acknowledgment which she thought would please her father but which to be full and true must include a little annoyance	just as she was leaving the room she hesitated she was inclined to make an acknowledgment which she thought would please her father but which to be full and true must include a little annoyance
23	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0023.wav	however out it came	however out it came	however out it came
24	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0024.wav	papa i do think mister thornton a very remarkable man but personally i don't like him at all	papa i do think mir thornton a very remarkable man but personally i don't like him at all	papa i do think miss thornton a very remarkable man but personally i don't like him at all
25	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0025.wav	and i do said her father laughing	and i do said her father laughing	and i do said her father laughing
26	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0026.wav	personally as you call it and all	personally as you call it and all	personally as you call it and all
27	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0027.wav	i don't set him up for a hero or anything of that kind	i don't set him up for a hero or anything of that kind	i don't set him up for a hero or anything of that kind
28	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0028.wav	but good night child	but could night child	but could night child
29	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0029.wav	there were several other signs of something wrong about missus hale	there were several other signs of something wrong about missus hale	there were several other signs of something wrong about missus hale
30	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0030.wav	she and dixon held mysterious consultations in her bedroom from which dixon would come out crying and cross as was her custom when any distress of her mistress called upon her sympathy	she and dixon held mysterious consultations in a bedroom from which dixon would come out crying and cross as was her custom when any distress of her mistress called upon her sympathy	she and dixon held mysterious consultations in a bedroom from which dixon would come out crying and cross as was her custom when any distress of her mistress called upon her sympathy
31	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0031.wav	once margaret had gone into the chamber soon after dixon left it and found her mother on her knees and as margaret stole out she caught a few words which were evidently a prayer for strength and patience to endure severe bodily suffering	once margaret had gone into the chamber soon after dixon lifted and found her mother on her knees and as margaret stole out she cought a few words which were evidently a prayer for strength and patience to endure severe bodily suffering	once margaret had gone into the chamber soon after dixon lifted and found her mother on her knees and as margaret stole out she caught a few words which were evidently a prayer for strength and patience to endure severe bodily suffering
32	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0032.wav	but though she received caresses and fond words back again in such profusion as would have gladdened her formerly yet she felt that there was a secret withheld from her and she believed it bore serious reference to her mother's health	but though she received caresses and fon words back again in such profusion as would have gladdened her formerly yet she felt that there was a secret withheld from her and she believed it bore serious reference to her mother's health	but though she received caresses and fond words back again in such profusion as would have gladdened her formerly yet she felt that there was a secret withheld from her and she believed it bore serious reference to her mother's health
33	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0033.wav	she lay awake very long this night planning how to lessen the evil influence of their milton life on her mother	she lay awake very long this night planning how to lesten the evil influence of ther milton life on her mother	she lay awake very long this night planning how to lessen the evil influence of the milton life on her mother
34	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0034.wav	a servant to give dixon permanent assistance should be got if she gave up her whole time to the search and then at any rate her mother might have all the personal attention she required and had been accustomed to her whole life	a servant to give dixon permanent assistance should be got if she gave up the whole time to the search and then at any rate her mother might have all the personal attentions she required and had been accustomed to her whole life	a servant to give dixon permanent assistance should be got if she gave up the whole time to the search and then at any rate her mother might have all the personal attention she required and had been accustomed to her whole life
35	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0035.wav	visiting register offices seeing all manner of unlikely people and very few in the least likely absorbed margaret's time and thoughts for several days	visiting register offices seeing all manner of unlikely people and very few and the least likely absorbed margaret's time and thoughts for several days	visiting register offices seeing all manner of unlikely people and very few and the least likely absorbed margaret's time and thoughts for several days
36	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0036.wav	one afternoon she met bessy higgins in the street and stopped to speak to her	one afternoon she met bessy higgins in the street and stopped to speak to her	one afternoon she met bessy higgins in the street and stopped to speak to her
37	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0037.wav	well bessy how are you	well bussy how are you	well busy how are you
38	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0038.wav	better and not better if yo know what that means	better and not better if you know what that means	better and not better if you know what that means
39	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0039.wav	not exactly replied margaret smiling	not exactly replied margaret smiling	not exactly replied margaret smiling
40	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0040.wav	i'm better in not being torn to pieces by coughing o'nights but i'm weary and tired o milton and longing to get away to the land o beulah and when i think i'm farther and farther off my heart sinks and i'm no better i'm worse	i'm better not being torn to pieces by coughing o knights but i'm weary and tid of milton and longing to get away to the land of bula and when i think i'm farther and farther off my heart sinks and i'm no better i'm worse	i'm better not being torn to pieces by coughing or knights but i'm weary and tired of milton and longing to get away to the land of beulah and when i think i'm farther and farther off my heart sinks and i'm no better i'm worse
41	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0041.wav	margaret turned round to walk alongside of the girl in her feeble progress homeward	margaret turned around to walk alongside of the girl in her feeble progress homeward	margaret turned around to walk alongside of the girl in her feeble progress homeward
42	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0042.wav	but for a minute or two she did not speak	but for a minute or two she did not speak	but for a minute or two she did not speak
43	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0043.wav	at last she said in a low voice	at last she said in a low voice	at last she said in a low voice
44	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0044.wav	bessy do you wish to die	bessie do you wish to die	bessy do you wish to die
45	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0045.wav	bessy was silent in her turn for a minute or two then she replied	bessy was silent in her turn for a minute or two then she replied	bessy was silent in her turn for a minute or two then she replied
46	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0046.wav	nought worse than many others i reckon	not worse than many others i reckon	not worse than many others i reckon
47	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0047.wav	but what was it	but what was it	but what was it
48	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0048.wav	you know i'm a stranger here so perhaps i'm not so quick at understanding what you mean as if i'd lived all my life at milton	you know i'm a stranger here so perhaps i'm not so quick at understanding what you mean as if i'd lived all my life in milton	you know i'm a stranger here so perhaps i'm not so quick at understanding what you mean as if i'd lived all my life in milton
49	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0049.wav	i had forgotten what i said for the time continued margaret quietly	i had forgotten what i said for the time continued margaret quietly	i had forgotten what i said for the time continued margaret quietly
50	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0050.wav	i should have thought of it again when i was less busy may i go with you now	i should have thought of it again when i was less busy may i go with you now	i should have thought of it again when i was less busy may i go with you now
51	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0051.wav	the sharpness in her eye turned to a wistful longing as she met margaret's soft and friendly gaze	the sharpness in her eye turned to a wistful longing as she met margaret soft and friendly gaze	the sharpness in her eye turned to a wistful longing as she met margaret's soft and friendly gaze
52	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0052.wav	as they turned up into a small court opening out of a squalid street bessy said	as they turned up into a small court opening out into a squalled street bessy said	as they turned up into a small court opening out into a squalid street bessy said
53	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0053.wav	yo'll not be daunted if father's at home and speaks a bit gruffish at first	you will not be daunted if fathers at home and speaks a bit gruffish at first	you will not be daunted if fathers at home and speaks a bit gruffish at first
54	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0054.wav	but nicholas was not at home when they entered	but nicholas was not at home when they entered	but nicholas was not at home when they entered
55	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0055.wav	gasped bessy at last	gaspasi at last	gasp s at last
56	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0056.wav	bessy took a long and feverish draught and then fell back and shut her eyes	bessy took a long and feverish draught and then fell back and shut her eyes	bessy took a long and feverish draught and then fell back and shut her eyes
57	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0057.wav	margaret bent over and said bessy don't be impatient with your life whatever it is or may have been	margaret bent over and said bessie don't be impatient with your life whatever it is or may have been	margaret bent over and said bessy don't be impatient with your life whatever it is or may have been
58	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0058.wav	remember who gave it you and made it what it is	remember who gave it to you and made it what it is	remember who gave it to you and made it what it is
59	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0059.wav	now i'll not have my wench preached to	now i'll not have my wench preach too	now i'll not have my wench preached too
60	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0060.wav	but surely said margaret facing round you believe in what i said that god gave her life and ordered what kind of life it was to be	but surely said margaret facing round you believe in what i said that god gave her life and ordered what kind of life it was to be	but surely said margaret facing round you believe in what i said that god gave her life and ordered what kind of life it was to be
61	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0061.wav	i believe what i see and no more	i believe what i see and no more	i believe what i see and no more
62	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0062.wav	that's what i believe young woman	that's what i believe young woman	that's what i believe young woman
63	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0063.wav	i don't believe all i hear no not by a big deal	i don't believe all i hear no not by a big deal	i don't believe all i hear no not by a big deal
64	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0064.wav	but hoo's come at last and hoo's welcome as long as hoo'll keep from preaching on what hoo knows nought about	but who's come at last and who's welcome as long as whe'll keep from preaching on what who knows naught about	but whose come at last and whose welcome as long as he'll keep from preaching on what who knows naught about
65	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0065.wav	it's simple and not far to fetch nor hard to work	it's simple i'm not far to fetch nor hard to work	it's simple i'm not far to fetch nor hard to work
66	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0066.wav	but the girl only pleaded the more with margaret	but the girl an he pladed the more with margaret	but the girl and he played the more with margaret
67	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0067.wav	don't think hardly on him he's a good man he is	don't think hardly on him he's a good man he is	don't think hardly on him he's a good man he is
68	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0068.wav	i sometimes think i shall be moped wi sorrow even in the city of god if father is not there	i sometimes think i shall be milked with sorrow even in the city of god if other is not there	i sometimes think i shall be mike with sorrow even in the city of god if other is not there
69	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0069.wav	the feverish colour came into her cheek and the feverish flame into her eye	the feverish colour came into her cheeks and the feverish flame into her eye	the feverish color came into her cheeks and the feverish flame into her eye
70	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0070.wav	but you will be there father you shall oh my heart	but you will be there father you shall oh my heart	but you will be there father you shall oh my heart
71	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0071.wav	she put her hand to it and became ghastly pale	she put her hand to it and became ghostly pale	she put her hand to it and became ghastly pale
72	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0072.wav	margaret held her in her arms and put the weary head to rest upon her bosom	margaret held her in her arms and put the weary head to rest upon her bosom	margaret held her in her arms and put the weary head to rest upon her bosom
73	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0073.wav	presently the spasm that foreshadowed death had passed away and bessy roused herself and said	presently the spasm that foreshadowed death had passed away and bessy roused herself and said	presently the spasm that foreshadowed death had passed away and bessy roused herself and said
74	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0074.wav	i'll go to bed it's best place but catching at margaret's gown yo'll come again i know yo will but just say it	i'll go to bed it's best place but catching at margaret's gon you'll come again i know you will but just say it	i'll go to bed it's best place but catching at margaret's gun you'll come again i know you will but just say it
75	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0075.wav	i will come to morrow said margaret	i will come to morrow said margaret	i will come to morrow said margaret
76	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0076.wav	margaret went away very sad and thoughtful	margaret went away very sad and thoughtful	margaret went away very sad and thoughtful
77	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0077.wav	she was late for tea at home	she was late for tea at home	she was late for tea at home
78	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0078.wav	have you met with a servant dear	have you met with a servant dear	have you met with a servant dear
79	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0079.wav	no mamma that anne buckley would never have done	no mama that anne buchley would never have done	no mamma that anne buckley would never have done
80	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0080.wav	suppose i try said mister hale	suppose i try said mister hale	suppose i try said mister hale
81	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0081.wav	everybody else has had their turn at this great difficulty now let me try	everybody else has had their turn at this great difficulty now let me try	everybody else has had their turn at this great difficulty now let me try
82	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0082.wav	i may be the cinderella to put on the slipper after all	a maybe the sindrilla to put on the slipper after all	maybe the cinderella to put on the slipper after all
83	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0083.wav	what would you do papa how would you set about it	what would you do papa how would you set about it	what would you do papa how would you set about it
84	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0084.wav	why i would apply to some good house mother to recommend me one known to herself or her servants	well i i would apply to some good housemother to recommend me one known to herself or her servant	well  i would apply to some good house mother to recommend me one known to herself or her servant
85	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0085.wav	very good but we must first catch our house mother	very good but we must first catch our housemother	very good but we must first catch our house mother
86	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0086.wav	the mother of whom he spoke to us said margaret	the mother of whom he spoke to us said margaret	the mother of whom he spoke to us said margaret
87	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0087.wav	missus thornton the only mother he has i believe said mister hale quietly	mister thornton the only mother he has i believe said mister hale quietly	mister thornton the only mother he has i believe said mister hale quietly
88	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0088.wav	i shall like to see her she must be an uncommon person her mother added	i shall like to see her she must be an uncommon person her mother added	i shall like to see her she must be an uncommon person her mother added
89	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0089.wav	perhaps she may have a relation who might suit us and be glad of our place	perhaps she may have a relation who might suit us and be glad of our place	perhaps she may have a relation who might suit us and be glad of our place
90	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0090.wav	she sounded to be such a careful economical person that i should like any one out of the same family	she sounded to be such a careful economical person that i should like any one out of the same family	she sounded to be such a careful economical person that i should like anyone out of the same family
91	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0091.wav	my dear said mister hale alarmed pray don't go off on that idea	my dear said mister hell alarmed pray don't go off on that idea	my dear said mister hell alarmed pray don't go off on that idea
92	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0092.wav	i am sure at any rate she would not like strangers to know anything about it	i'm sure at any rate she would not like strangers to know anything about it	i'm sure at any rate she would not like strangers to know anything about it
93	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0093.wav	take notice that is not my kind of haughtiness papa if i have any at all which i don't agree to though you're always accusing me of it	take notice that this is not my kind of fortuness papa if i have any at all which i don't agree to though youre always accusing me of it	take notice that this is not my kind of fortunes papa if i have any at all which i don't agree to though you always accusing me of it
94	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0094.wav	i don't know positively that it is hers either but from little things i have gathered from him i fancy so	i don't know positively that it is hers either but from little things i have gathered from him i fancy so	i don't know positively that it is hers either but from little things i have gathered from him i fancy so
95	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0095.wav	they cared too little to ask in what manner her son had spoken about her	they cared too little to ask in what manner her son had spoken about her	they cared too little to ask in what manner her son had spoken about her
96	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1998-15444-0000.wav	if called to a case supposed or suspected to be one of poisoning the medical man has two duties to perform to save the patient's life and to place himself in a position to give evidence if called on to do so	if call to a case supposed a suspecter to be one of poisoning the medical man has two duties to perform to save the patient's life and to place himself in a position to give evidence if called on to do so	if call to a case supposed a suspected to be one of poisoning the medical man has two duties to perform to save the patient's life and to place himself in a position to give evidence if called on to do so
97	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1998-15444-0001.wav	he should make inquiries as to symptoms and time at which food or medicine was last taken	he should make inquiries as to symptoms in time at which fuid or medicine was last taken	he should make inquiries as to symptoms in time at which fruit or medicine was last taken
98	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1998-15444-0002.wav	he should notice the position and temperature of the body the condition of rigor mortis marks of violence appearance of lips and mouth	he should notice the position and temperature of the body the condition of riger motus marks of violins appearance of lips and mouth	he should notice the position and temperature of the body the condition of rigor mortis marks of violence appearance of lips and mouth
99	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1998-15444-0003.wav	in making a post mortem examination the alimentary canal should be removed and preserved for further investigation	in making a post modern examination the elementary canal should be removed and preserved for further investigation	in making a post modern examination the alimentary canal should be removed and preserved for further investigation
100	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1998-15444-0004.wav	the gut and the gullet being cut across between these ligatures the stomach may be removed entire without spilling its contents	the gut and the gallet being cut across between these licatures the stomach may be removed entire without spilling its contents	the gut and the gullet being cut across between these ligatures the stomach may be removed entire without spilling its contents
101	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1998-15444-0005.wav	if the medical practitioner is in doubt on any point he should obtain technical assistance from someone who has paid attention to the subject	if the medical practitioner is endowered on any point he should obtain technical assistance from someone who has paid attention to the subject	if the medical practitioner is end were on any point he should obtain technical assistance from someone who has paid attention to the subject
102	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1998-15444-0006.wav	in a case of attempted suicide by poisoning is it the duty of the doctor to inform the police	in a case of attempted suicide by poisoning is it the duty of the doctor to inform the police	in a case of attempted suicide by poisoning is it the duty of the doctor to inform the police
103	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1998-15444-0007.wav	the best emetic is that which is at hand	the best ematic is that which is at hand	the best emetic is that which is at hand
104	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1998-15444-0008.wav	the dose for an adult is ten minims	the dase for an adult is ten minumes	the dish for an adult is ten minims
105	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1998-15444-0009.wav	apomorphine is not allied in physiological action to morphine and may be given in cases of narcotic poisoning	epimorphin is not allied in physiological action to morphine and may be given in cases of neucotic poisoning	apomorphine is not allied in physiological action to morphine and may be given in cases of narcotic poisoning
106	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1998-15444-0010.wav	tickling the fauces with a feather may excite vomiting	tickling the foces with a feather may excite volmiting	tickling the forces with a feather may excite vomiting
107	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1998-15444-0011.wav	in using the elastic stomach tube some fluid should be introduced into the stomach before attempting to empty it or a portion of the mucous membrane may be sucked into the aperture	in using the elastic stamic tube some fluid should be introduced into the stomach before attempting to empty it or a portion of the mucus memrane may be sacked into the apperture	in using the elastic stomach tube some fluid should be introduced into the stomach before attempting to empty it or a portion of the mucous membrane may be sucked into the aperture
108	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1998-15444-0012.wav	the tube should be examined to see that it is not broken or cracked as accidents have happened from neglecting this precaution	the tube should be examined to see that it is not broken or correcket as accidents have happened from neglecting this precaution	the tube should be examined to see that it is not broken or correct as accidents have happened from neglecting this precaution
109	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1998-15444-0013.wav	antidotes are usually given hypodermically or if by mouth in the form of tablets	antidotes are usually given hypodermically or if ber mouth in the form of tablets	antidotes are usually given hypodermically or if per mouth in the form of tablets
110	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1998-15444-0014.wav	in the absence of a hypodermic syringe the remedy may be given by the rectum	in the absence of the hyperdermic soringe the remedy may be given by the rectum	in the absence of the hypodermic syringe the remedy may be given by the rectum
111	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1998-15444-0015.wav	notice the smell colour and general appearance of the matter submitted for examination	notice the small color and general appearance of the matter submitted for examination	notice the small color and general appearance of the matter submitted for examination
112	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1998-15444-0016.wav	for the separation of an alkaloid the following is the process of stas otto	for the separation of an alkeloid the following is the process of star's otto	for the separation of an alkaloid the following is the process of stas otto
113	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1998-15444-0017.wav	this process is based upon the principle that the salts of the alkaloids are soluble in alcohol and water and insoluble in ether	this process is based upon the principle that the salts of the alcoloids are soluble in acolond water and insoluble in ether	this process is based upon the principle that the salts of the alkaloid are soluble in cold water and insoluble in ether
114	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1998-15444-0018.wav	the pure alkaloids with the exception of morphine in its crystalline form are soluble in ether	the pure acoloids with the exception of morphine in its crystalline form assoluble in ether	the pure alkaloids with the exception of morphine in its crystalline form as soluble in ether
115	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1998-15444-0019.wav	two cool the mixture and filter wash the residue with strong alcohol and mix the filtrates	two cool the mixchand filter wash the resedue with strong alcohol and mix the filtrates	two cool the mix chant filter wash the residue with strong alcohol and mix the filtrates
116	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1998-15444-0020.wav	the residue may be set aside for the detection of the metallic poisons if suspected expel the alcohol by careful evaporation	the resedue may be set aside for the detection of the metallic poisons if suspected exper the alcohol by careful evaporation	the residue may be set aside for the detection of the metallic poisons of suspected expel the alcohol by careful evaporation
