audios	text	without_lm	with_lm
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_21343140.mp3	தோளசைத்தங்கு நடம் புரிவாள்  அவன்	தோளசெய்த் தங்குநடம் புரிவாள்  அவன்	தோளசைத்தங்கு நடம் புரிவாள்  அவன்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_24007812.mp3	வழக்கு என்ற சொல் கணக்கு என்பதோடு இணைந்துவரும் சொல் கணக்கு வழக்கு	வழக்கு என்றசொல் கணக்கு என்பதோட இனைந்து வரும் சொல் கணக்கு வழக்கு	வழக்கு என்ற சொல் கணக்கு என்பதோடு இணைந்துவரும் சொல் கணக்கு வழக்கு
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_21326090.mp3	கலையேவளர் தொழில்மேவிடு	கலையே வளர்தொழில் மேவிடு	கலையேவளர் தொழில்மேவிடு
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_22999731.mp3	வணக்கம்	வணக்கம்	வணக்கம்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_23618083.mp3	சென்னையில் அவலம் சாலையில் தடுப்பு அமைக்கப்பட்டு தனிமைப்படுத்தப்பட்ட வீடற்றோர்	சென்னை யலாவலம் சாலயில் தடுப்ப மைக்கப்பட்ட தனமைபடுத்த பட்டவே டற்சோர்	சென்னை இலவம் சாலையில் தடுப்பு ஆக்கப்பட்ட தனிமைப்படுத்தப்பட்ட வீடற்றோர்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_21290587.mp3	அத்திம்பேர் அம்மாமி எனுந்தமிழ்தான் மீதம்	அத்திம்பேர் அம்மாமே எனம் தமிழ்தான் மீதம்	அத்திம்பேர் அம்மாமி மனம் தமிழ் தான் மீதம்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_21290588.mp3	வேண்டிய பண்டங்கள் ஈண்டிடச் செய்தோம்	வேண்டிய பண்டங்கள் ஈண்றிடச் செய்தோம்	வேண்டிய பண்டங்கள் ஈண்டிடச் செய்தோம்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_21303646.mp3	கங்கை நதிப்புறத்துக் கோதுமைப் பண்டம்	கங்கை நதிபுறத்துக் கோதுமை பண்டம்	கங்கை நதிப்புறத்துக் கோதுமைப் பண்டம்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_21303687.mp3	எனக்கு டீ தான் பிடிக்கும்	எனக்குட் டீ தான் பிடிக்கும்	எனக்குத் டீ தான் பிடிக்கும்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_21277339.mp3	இன்சொலால் ஈரம் அளைஇப் படிறிலவாம் செம்பொருள் கண்டார்வாய்ச் சொல்	உசொலால் கீரும் அதைப் பதிருளமா செம்பொருள் கண்டார் வாய்ச்சொன்	சொலல் வீரம் அதைப் பத்துமா செம்பொருள் கண்டார்வாய்ச் சொல்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_21277343.mp3	எனைத்திட்பம் எய்தியக் கண்ணும் வினைத்திட்பம் வேண்டாரை வேண்டாது உலகு	வனைத்திற்டும் வேதியகண்அனிதிற்பம் வேண்டாரை வேண்டாது உளர்வு	வினைத்திட்பம் வீதி கண் திட்டம் வேண்டாரை வேண்டாது இலர்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_20068201.mp3	கன்னல் பிழிந்து கலந்த கனிச்சாறே	கன்னல் பிழிந்து கலந்த கனிசாரே	கன்னல் பிழிந்து கலந்த கனிச்சாறே
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_20068207.mp3	தயைமிக உடையாள் அன்னை  என்னைச்	தகைமிக உடையாள் அன்னை என்னைச்	தயைமிக உடையாள் அன்னை என்னைச்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_22416375.mp3	ஹே	ஏ	ஏ
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_22416385.mp3	ஐந்து	அிந்த	அறிந்து
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_21338731.mp3	தூக்கி வந்து தொகையாய் எண்ணினான்	தூக்கிவந்து துவையாய் எண்றினான்	தூக்கி வந்து தொகையாய் எண்ணினான்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_21338733.mp3	இனத்தவரின் குழந்தைகளோ ஏஎன்று கெஞ்ச	இனத்தவைின் குறந்தைகளோ ஏஎன்று கெஞ்ச	இனத்தவரின் குழந்தைகளோ ஏஎன்று கெஞ்ச
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_23681173.mp3	மணியே மணியின் ஒளியே ஒளிரும் மணிபுனைந்த	மணியே மணியின் ஒழியே ஒழிரும் மணி புனைந்த	மணியே மணியின் ஒளியே ஒளிரும் மணிபுனைந்த
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_23681174.mp3	அல்லிமென் முல்லையந்தார் அமர்நீதிக் கடியேன்	அல்லிமென் முல்லையந்தார் அமர்நீதிக்கடிய	அல்லிமென் முல்லையந்தார் அமர்நீதிக் கடியேன்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_22474516.mp3	மூன்று	மோன்றோ	மன்றோ
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_21310627.mp3	பேசிடும் பேச்சினில் பாட்டு நடத்தினள்	பேரசிடும் பேச்சென்னலி ஆட்டும் அடதத்தினனான்	பேசிடும் பேச்சினில் மட்டும் இடத்த தான்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_21310628.mp3	உத்தியாய்க் கேட்டோர் உரைத்தோர்எல் லாருமே	உத்தியாய்க் கேட்டோர் உரைத்தோர் எல்லாருமே	உத்தியாய்க் கேட்டோர் உரைத்தோர்எல் லாருமே
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_20554438.mp3	தாங்குவ தில்லையெனிற் கவலை யில்லை	ஒொலிதாங்கவர் இல்லையெனின் காவக இல்லை	கலை தாங்குவ ர் இல்லை எனின் காக இல்லை
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_20554439.mp3	சேவகன் வருதல்கண்டு மனம்பதைப்பார்	பசிசேவரென் வரகர்கண்டு மனும் பதை வகற்க	பசி சேவகன் வார் கண்டு மனம் கதை வழக்க
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_21367610.mp3	இடிக்குரற் சிங்கநேர் இறையே எனினும்	இடிக்குரர் சிந்தமேர் இறையே கறேணம்	இடிக்குரற் சிங்கநேர் இறையே இலவம்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_21367613.mp3	எற்படுமோ இன்பம் வாய்த்திடக் கூடுமோ	ஏற்தெறும்பம இன்பம் வாய்ச்சிடக் தூருமம	ஏற்படும் இன்பம் வாய்த்திடக் தரும்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_22410478.mp3	பூஜ்யம்	வீர்சின்	வீட்டின்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_21341997.mp3	யாமறிந்த புலவரிலே கம்பனைப்போல் வள்ளுவர்போல் இளங்கோவைப்போல் பூமிதனில் யாங்கணுமே பிறந்ததில்லை	இயாமரிந்தப் புலாவரிலே கம்பனிப்போல் வள்ளுவரைப்போல் இளங்கோவைப்பொல் உமிதனில் யாங்கின்னும்காப்பிறந்ததில்லை	யாமறிந்த புலவரிலே கம்பனைப்போல் வள்ளுவர்போல் இளங்கோவைப்போல் பூமிதனில் யாம் இன்னும் காக பிறந்ததில்லை
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_21341999.mp3	ஆழ்கஎன்றன் குருதியெலாம் அன்பு நாட்டில்	ஆர்கைஎன் என்றன் குருதியெல்லாம் அன்பு நாட்டில	ஆறரை என் என்றன் குருதியெலாம் அன்பு நாட்டில்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_21746487.mp3	ஒன்பது	வண்பது	ஒன்பது
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_19579269.mp3	மறுமலர்ச்சி கண்டதென முழக்கஞ் செய்வீர்	மறுமலர்ச்சிக் கண்டதென மழங்கச் செய்வீர்	மறுமலர்ச்சி கண்டதென முழக்கஞ் செய்வீர்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_19579270.mp3	அஞ்சாத பொருளில்லை அவனியிலே	அஞ்சாதப பொருதில்லை அவனியிலே	அஞ்சாத பொருளில்லை அவனியிலே
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_19579273.mp3	என்றழுதான் விம்மி இளையான் கவியரசன்	என்றழில்தான் இண்னி இலையான் கவியரசன்	என்றழுதான் எண்ணி இளையான் கவியரசன்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_19634231.mp3	நான் நேற்று விடுமுறையில் இருந்தேன்	நான் நேற்று விடுமுறையில் இருந்தே	நான் நேற்று விடுமுறையில் இருந்தேன்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_19634232.mp3	தன்னலம் பேணி இழிதொழில்கற் போம்	தன்னலாம் பேநீ இழிதொழில் கற்ப்போ	தன்னலம் பேணி இழிதொழில்கற் போ
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_19634234.mp3	கதியில் உயர்ந்திட யாம்பெற்ற பேறு	கதைகில் உயர்ந்திட யாம்பெற்ற பேர்	கதியில் உயர்ந்திட யாம்பெற்ற பேர்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_19785718.mp3	என்னோடு முந்தாநாள் பேச இணங்கினாய்	என்னோடு முந்தானால் பேச இணங்கினாய்	என்னோடு முந்தாநாள் பேச இணங்கினாய்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_19785719.mp3	பிறர் மனதை புண்படுத்தகூடிய வார்த்தைகளை தவிருங்கள்	பிரர் மனவைப் புன்படுத்த கூடிய வார்த்தையிலை தவிருந்பர் இரு	பிறர் மனதை புண்படுத்தகூடிய வார்த்தைகளை திருந்த இரு
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_19785722.mp3	தமிழ் எங்கள் சமுகத்தின் விளைவுக்கு நீர்	தமிழ் எங்கள் சமுதத்தின் விளைவுக்கண்நீர்	தமிழ் எங்கள் சமுகத்தின் விளைவுக்கு நீர்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_21354674.mp3	தொடவும் தகாதென்று சொன்னார் நறுந்தேன்	தொடவும் தகா தென்றுதொன்னார்நருந்தேன்	தொடவும் தகாதென்று சொன்னார் நறுந்தேன்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_21354676.mp3	கடவுள் புவிக்கவ தாரம்  அந்தக்	கடவுள்புவிக் கவதாரம் அந்்த்	கடவுள் புவிக்கவ தாரம் அந்த
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_21354677.mp3	தமிழ்மகள் சொல்லியசொல் அமிழ்த மென்போம்	தமிழ்மகள் சொல்லிய சொல் நமிழ்நன்போ	தமிழ்மகள் சொல்லிய சொல் தமிழ் தன் போ
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_19780682.mp3	தாவுதல் உண்டதுபோல்	தாவுதர உண்டகுபோல்	தாவுதல் உண்டதுபோல்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_19780683.mp3	நேராக செல்லுங்கள்	நேராக சேர்லுங்கள்	நேராக செல்லுங்கள்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_19780685.mp3	நொடிக்குநொடி ஆசிரியர் உதவு கின்ற	நுடிக்கநுடி ஆசரியர் உதவும்கின்ற	நொடிக்குநொடி ஆசிரியர் உதவு கின்ற
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_23632428.mp3	வடமொழியா னைக்கொண்டு மொழிபெயர்த்து வருவார்க்கு வண்ட மிழ்ச்சீர் கெடுவதிலே கவலையில்லை	வடமொடி யானேக் கொண்டு முழிபெயர்த்துவருவார்க்கு வண்டமிழ்ச்சீர்ட் கெடுவதிலேகவலியில்லை	வடமொழியா னைக்கொண்டு மொழிபெயர்த்து வருவார்க்கு வண்ட மிழ்ச்சீர் கெடுவதிலே கவலையில்லை
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_23632429.mp3	வீட்டில் கோழி வளர்ப்பது எப்படி	வீட்டின் கோழி வளர்ப்பது எப்படி	வீட்டின் கோழி வளர்ப்பது எப்படி
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_23632431.mp3	இட ஒதுக்கீடு குறித்து புதிய கல்விக்கொள்கை பேசவில்லை என்ற குற்றச்சாட்டை ஏற்க இயலாது	இறவொதிக்கீடு குறித்துப் புதிய கல்வி கொள்கை பேசவில்லை என்றகுற்றுச் சாற்றை ஏர்கயிலாது	இட ஒதுக்கீடு குறித்து புதிய கல்வி கொள்ளை பேசவில்லை என்ற குற்றச்சாட்டை ஏற்க இயலாது
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_21277400.mp3	பச்சையூ னியைந்த வேற் படைகள் வந்த போதினும்	பச்சையு நேனிந்த வேர்படைகள் வந்த போதினும்	பச்சையூ நிறைந்த வேர் படைகள் வந்த போதினும்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_21277401.mp3	இனமான ஏந்தல் அண்ணாவின்	இனமான ஏஞ்சல் அன்னாவின்	இனமான ஏந்தல் அண்ணாவின்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_21277402.mp3	தொல்லை தரும்புவியில்	தொல்லை தரும் புவி  எல்	தொல்லை தரும் புவி  என்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_21277403.mp3	தாய்மொழிக்குப் பழிவந்தால் சகிப்ப துண்டோ	தாய்மொழிக்குப் பலிவந்தாள் சகிப்ப துண்டோ	தாய்மொழிக்குப் பழிவந்தால் சகிப்ப துண்டோ
