Unnamed: 0	audios	text	without_lm	with_lm
16	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284449-0000.wav	so they were quite willing to obey the orders of their girl queen and in a short time the blasts of trumpets and roll of drums and clashing of cymbals told trot and cap'n bill that the blue bands had assembled before the palace	so they were quite willing to obey the orders of their girl queen and in a short time the blast of trumpets and roll of drums and clashing of symbols told trot and cat and bill that the blue bands had assembled before the palace	so they were quite willing to obey the orders of their girl queen and in a short time the blasts of trumpets and roll of drums and clashing of cymbals told trot and cat and bill that the blue bands had assembled before the palace
17	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284449-0001.wav	then they all marched out a little way into the fields and found that the army of pinkies had already formed and was advancing steadily toward them	then they all marched out a little way into the fields and found that the army of pinkies had already formed and was advancing steadily toward them	then they all marched out a little way into the fields and found that the army of pinkies had already formed and was advancing steadily toward them
18	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284449-0002.wav	at the head of the pinkies were ghip ghisizzle and button bright who had the parrot on his shoulder and they were supported by captain coralie and captain tintint and rosalie the witch	at the head of the pinkies were gipgesisel and button bright who had the parrot on his shoulder and they were supported by captain corole and captain tintent and rosilee the witch	at the head of the pinkies were ghip ghisizzle and button bright who had the parrot on his shoulder and they were supported by captain coralie and captain tintint and rosalie the witch
19	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284449-0003.wav	when the blueskins saw ghip ghisizzle they raised another great shout for he was the favorite of the soldiers and very popular with all the people	when the blueskin saw kitkisses ar they raised another great shout for he was the favorite of the soldiers and very popular with all the people	when the blueskins saw kit kisses  they raised another great shout for he was the favourite of the soldiers and very popular with all the people
20	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284449-0004.wav	since last thursday i ghip ghisizzle have been the lawful boolooroo of the blue country but now that you are conquered by queen trot i suppose i am conquered too and you have no boolooroo at all	since last thursday i gipgasiza have been the lawful boulerou of the blue country but now that you are conquered by queenshot i suppose i am conquered too and you have no boolerou at all	since last thursday i ghip have been the lawful boolooroo of the blue country but now that you are conquered by queen shot i suppose i am conquered too and you have no boolooroo at all
21	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284449-0005.wav	when he finished she said cheerfully	when he finished she said cheerfully	when he finished she said cheerfully
22	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284449-0006.wav	don't worry sizzle dear it'll all come right pretty soon	don't worry ciscel dear it'll come right pretty soon	don't worry sister dear it'll come right pretty soon
23	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284449-0007.wav	now then let's enter the city an enjoy the grand feast that's being cooked i'm nearly starved myself for this conquerin kingdoms is hard work	now then let's enter the city and enjoy the great feast atis being cooked i nearly starn myself for this conquering kingdoms is hard work	now then let's enter the city and enjoy the great feast at is being cooked i nearly star myself for this conquerin kingdoms is hard work
24	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284449-0008.wav	then she gave rosalie back her magic ring thanking the kind witch for all she had done for them	then she gave rosalie back her magic ring thanking the kind wich for all she had done for them	then she gave rosalie back her magic ring thanking the kind which for all she had done for them
25	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284449-0009.wav	you are mate replied the sailor	you are mate replied the sailor	you are mate replied the sailor
26	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284449-0010.wav	it will be such a satisfaction	it will be such a satisfaction	it will be such a satisfaction
27	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284449-0011.wav	the guards had a terrible struggle with the goat which was loose in the room and still wanted to fight but finally they subdued the animal and then they took the boolooroo out of the frame he was tied in and brought both him and the goat before queen trot who awaited them in the throne room of the palace	the guards had a terrible struggle with the ghoat which was loose in the room and still wanted to fight but finally they subdued the animal and then they took the bouleroo out of the frame who was tied in and brought both him and the goat before queen trot who awaited them in the throne room of the palace	the guards had a terrible struggle with the goat which was loose in the room and still wanted to fight but finally they subdued the animal and then they took the boolooroo out of the frame who was tied in and brought both him and the goat before queen trot who awaited them in the throne room of the palace
28	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284449-0012.wav	i'll gladly do that promised the new boolooroo and i'll feed the honorable goat all the shavings and leather and tin cans he can eat besides the grass	i'll gladly do that promised the new bouleroom and i'll feed the honorable goat all the shavings and leather and tincans gne besides the grass	i'll gladly do that promised the new boolooroo and i'll feed the honorable got all the shavings and leather and tin cans  besides the grass
29	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284449-0013.wav	scuse me said trot i neglected to tell you that you're not the boolooroo any more	xcuse me said shott i neglected to tell you that you're not a booleroo any more	excuse me said shot i neglected to tell you that you're not a boolooroo anymore
30	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284449-0014.wav	the former boolooroo groaned	the former buwlary grond	the former bare ground
31	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284449-0015.wav	i'll not be wicked any more sighed the old boolooroo i'll reform	hi will not be wicked any more sighed the old baloon ou reform	i will not be wicked any more sighed the old blood bow reform
32	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284449-0016.wav	as a private citizen i shall be a model of deportment because it would be dangerous to be otherwise	as a private citizen i shall be a model of deportment because it would be dangerous to be otherwise	as a private citizen i shall be a model of deportment because it would be dangerous to be otherwise
33	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284449-0017.wav	when first they entered the throne room they tried to be as haughty and scornful as ever but the blues who were assembled there all laughed at them and jeered them for there was not a single person in all the blue country who loved the princesses the least little bit	when first they entered the throne moon they tried to be as haughty and scornful as ever but the blues who were assemble there all laughed at them and jeered them for there was not a single person in a alder blue puntry who loved the princess as too least little bit	when first they entered the throne moon they tried to be as haughty and scornful as ever but the blues who were assembled there all laughed at them and jeered them for there was not a single person in older blue country who loved the princess as  least little bit
34	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284449-0018.wav	so ghip ghisizzle ordered the captain to take a file of soldiers and escort the raving beauties to their new home	so gypgasizel ordered the captain to take a file of soldiers and escort the ravian beauties to their new home	so ghip ghisizzle ordered the captain to take a file of soldiers and escort the raving beauties to their new home
35	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284449-0019.wav	that evening trot gave a grand ball in the palace to which the most important of the pinkies and the blueskins were invited	that evening trout gave a grand ball in the palace to which the most important of the pinkies and the blue skins were invited	that evening trout gave a grand ball in the palace to which the most important of the pinkies and the blueskins were invited
36	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284449-0020.wav	the combined bands of both the countries played the music and a fine supper was served	the combined bands of both the countries played the music and a fine suppurb was served	the combined bands of both the countries played the music and a fine supper was served
37	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284447-0000.wav	then he rushed down stairs into the courtyard shouting loudly for his soldiers and threatening to patch everybody in his dominions if the sailorman was not recaptured	then he rushed downstairs into the courtyard shouting loudly for his soldiers and threatening to patch everybod na's dominions if the sailormen was not recaptured	then he rushed downstairs into the courtyard shouting loudly for his soldiers and threatening to patch everybody as dominions if the sailorman was not recaptured
38	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284447-0001.wav	hold him fast my men and as soon as i've had my coffee and oatmeal i'll take him to the room of the great knife and patch him	hold him fast my men and as soon as i've had my coffee and oakmeal i'll tak him to the room of the great knife and patt him	hold him fast my man and as soon as i've had my coffee and oatmeal i'll take him to the room of the great knife and patch him
39	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284447-0002.wav	i wouldn't mind a cup o coffee myself said cap'n bill i've had consid'ble exercise this mornin and i'm all ready for breakfas	i wouldn't mind the cup of coffe myself said kempbell i've had considerable acercise this morning and i'm all ready for breakfast	i wouldn't mind the cup of coffee myself said key i've had considerable exercise this morning and i'm all ready for breakfast
40	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284447-0003.wav	but cap'n bill made no such attempt knowing it would be useless	but carton door made no such attempt knowing it would be useless	but canon door made no such attempt knowing it would be useless
41	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284447-0004.wav	as soon as they entered the room of the great knife the boolooroo gave a yell of disappointment	as soon as they entered the room ith the great knife the boulerou gave a yell of disappointment	as soon as they entered the room with the great knife the boolooroo gave a yell of disappointment
42	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284447-0005.wav	the room of the great knife was high and big and around it ran rows of benches for the spectators to sit upon	the room of the great knife was high and big and around it ran rows of benches for the spectators to sit upone	the room of the great knife was high and big and around it ran rows of benches for the spectators to sit upon
43	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284447-0006.wav	in one place at the head of the room was a raised platform for the royal family with elegant throne chairs for the king and queen and six smaller but richly upholstered chairs for the snubnosed princesses	in one place at the head of the room was a raised platform for the royal family with elegant throned chairs for the king and queen and six smaller but richly opposteed chairs for the snug nose princesses	in one place at the head of the room was a raised platform for the royal family with elegant throne chairs for the king and queen and six smaller but richly opposed chairs for the snubnosed princesses
44	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284447-0007.wav	therefore her majesty paid no attention to anyone and no one paid any attention to her	therefore her majesty paid no attention to anyone and no one paid any attention to her	therefore her majesty paid no attention to anyone and no one paid any attention to her
45	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284447-0008.wav	rich jewels of blue stones glittered upon their persons and the royal ladies were fully as gorgeous as they were haughty and overbearing	rich jewels of blue stones glittered upon their persons and the royal ladies were fully as cortious as they were haughty and overbearing	rich jewels of blue stones glittered upon their persons and the royal ladies were fully as gorgeous as they were haughty and overbearing
46	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284447-0009.wav	mornin girls hope ye feel as well as ye look	morning girls ho people as well as you look	morning girls  people as well as you look
47	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284447-0010.wav	control yourselves my dears replied the boolooroo the worst punishment i know how to inflict on anyone this prisoner is about to suffer you'll see a very pretty patching my royal daughters	control yourselves my dears replied the boulerou the worst punishment i know how to inflict on anyone this prisoner is about to suffer you will see a very pretty petching my royal daughters	control yourselves my dears replied the boolooroo the worst punishment i know how to inflict on anyone this prisoner is about to suffer you will see a very pretty patching my royal daughters
48	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284447-0011.wav	suppose it's a friend	suppose it's a brin	suppose it's a brim
49	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284447-0012.wav	the captain shook his head	the captain shook his head	the captain shook his head
50	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284447-0013.wav	why you said to fetch the first living creature we met and that was this billygoat replied the captain panting hard as he held fast to one of the goat's horns	why you said to fetch the first living creature we met and that was the sqilly goat replied the captain panting hard as he held fast to one of the goat's horns	why you said to fetch the first living creature we met and that was the billygoat replied the captain panting hard as he held fast to one of the goat's horns
51	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284447-0014.wav	the idea of patching cap'n bill to a goat was vastly amusing to him and the more he thought of it the more he roared with laughter	the idea of patching cattonbill to a goat was vastly amusing to him and the more he thought of it the more he roared with laughter	the idea of patching cotton bill to a goat was vastly amusing to him and the more he thought of it the more he roared with laughter
52	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284447-0015.wav	they look something alike you know suggested the captain of the guards looking from one to the other doubtfully and they're nearly the same size if you stand the goat on his hind legs they've both got the same style of whiskers and they're both of em obstinate and dangerous so they ought to make a good patch splendid	they ork something alike you know suggested the captain of the guards looking from one to the other doubtfully and they're nearly the same size if you stand a boat on his hind legs they've both got the same style of whiskers and they're both of them obstinate and dangerous so they ought to make a good patch splendid	they or something alike you know suggested the captain of the guards looking from one to the other doubtfully and they're nearly the same size if you stand a boat on his hind legs they've both got the same style of whiskers and they're both of them obstinate and dangerous so they ought to make a good patch splendid
53	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284447-0016.wav	fine glorious	fine gorious	fine glorious
54	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284447-0017.wav	when this had been accomplished the boolooroo leaned over to try to discover why the frame rolled away seemingly of its own accord and he was the more puzzled because it had never done such a thing before	when this had been accomplished the boulerou leaned over to try to discover why the frame rolled away seemingly of its own accord and he was the more puzzled because it had never done such a thing before	when this had been accomplished the boolooroo leaned over to try to discover why the frame rolled away seemingly of its own accord and he was the more puzzled because it had never done such a thing before
55	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284447-0018.wav	at once the goat gave a leap escaped from the soldiers and with bowed head rushed upon the boolooroo	at once the goat gave a leap escape from the soldiers and with bowed head rushed upon the bouluroub	at once the goat gave a leap escape from the soldiers and with bowed head rushed upon the bul room
56	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284447-0019.wav	before any could stop him he butted his majesty so furiously that the king soared far into the air and tumbled in a heap among the benches where he lay moaning and groaning	before any could stop him he budded his majesty so furiously that the king sored far into the air and tumbled in a heap among the benches where he lay moning and groaning	before any could stop him he butted his majesty so furiously that the king sore far into the air and tumbled in a heap among the benches where he lay moaning and groaning
57	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284447-0020.wav	the goat's warlike spirit was roused by this successful attack	the goate's warlike spirit was roused by this successful attack	the goat's warlike spirit was roused by this successful attack
58	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284447-0021.wav	then they sped in great haste for the door and the goat gave a final butt that sent the row of royal ladies all diving into the corridor in another tangle whereupon they shrieked in a manner that terrified everyone within sound of their voices	then they spead in great haste for the door and nago gave a final budes in the row of royal ladies all diving into the corridor in another tangle whereupon they shrieked in a manner that terrified everyone within the sound of their voices	then they sped in great haste for the door and ago gave a final bites in the row of royal ladies all diving into the corridor in another tangle whereupon they shrieked in a manner that terrified everyone within the sound of their voices
59	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284447-0022.wav	i had a notion it was you mate as saved me from the knife	i had a notion it was you mata sami from the knife	i had a notion it was you mate same from the knife
60	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284447-0023.wav	i couldn't shiver much bein bound so tight but when i'm loose i mean to have jus one good shiver to relieve my feelin's	i couldn't shiver much being bound so tight but when i'm lose i mean to have just sone good shiver to relieve my feelins	i couldn't shiver much being bound so tight but when i'm lose i mean to have just one good shiver to relieve my feelings
61	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-284447-0024.wav	come and get the boolooroo she said going toward the benches	come and get the boleroo she said going toward the benches	come and get the boolooroo she said going toward the benches
62	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/6930-75918-0000.wav	concord returned to its place amidst the tents	concord returned to its place amidst the tents	concord returned to its place amidst the tents
63	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/6930-75918-0001.wav	the english forwarded to the french baskets of flowers of which they had made a plentiful provision to greet the arrival of the young princess the french in return invited the english to a supper which was to be given the next day	he english fowarded to the french baskets of flowers of which they had made a plentiful provision to greet the arrival of the young princess the french in return invited the english to a supper which was to be given the next day	he english forwarded to the french baskets of flowers of which they had made a plentiful provision to greet the arrival of the young princess the french in return invited the english to a supper which was to be given the next day
64	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/6930-75918-0002.wav	congratulations were poured in upon the princess everywhere during her journey	congratulations were poured in upon the princess everywhere during her journey	congratulations were poured in upon the princess everywhere during her journey
65	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/6930-75918-0003.wav	from the respect paid her on all sides she seemed like a queen and from the adoration with which she was treated by two or three she appeared an object of worship the queen mother gave the french the most affectionate reception france was her native country and she had suffered too much unhappiness in england for england to have made her forget france	om the respect paid her on all sides she seemed like a queen and from the adoration with which she was treated by two or three she appeared an object of worship the queen mother gave the french the most affectionate reception france was her native country and she had suffered too much unhappiness in england for england to have made her forget france	or the respect paid her on all sides she seemed like a queen and from the adoration with which she was treated by two or three she appeared an object of worship the queen mother gave the french the most affectionate reception france was her native country and she had suffered too much unhappiness in england for england to have made her forget france
66	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/6930-75918-0004.wav	she taught her daughter then by her own affection for it that love for a country where they had both been hospitably received and where a brilliant future opened before them	she taught her daughter then by her own affection for it that love for a country where they had both been hospitably received and were a brilliant future opened for them	she taught her daughter then by her own affection for it that love for a country where they had both been hospitably received and were a brilliant future opened for them
67	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/6930-75918-0005.wav	the count had thrown himself back on his seat leaning his shoulders against the partition of the tent and remained thus his face buried in his hands with heaving chest and restless limbs	the count had thrown himself back on his seat leaning his shoulders against the partition of the tent and remained thus his face buried in his hands with heaving chest and restless limbs	the count had thrown himself back on his seat leaning his shoulders against the partition of the tent and remained thus his face buried in his hands with heaving chest and restless limbs
68	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/6930-75918-0006.wav	this has indeed been a harassing day continued the young man his eyes fixed upon his friend	this has indeed been a harassing day continued the young man his eyes fixed upon his friend	this has indeed been a harassing day continued the young man his eyes fixed upon his friend
69	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/6930-75918-0007.wav	you will be frank with me i always am	you will be frank with me i always am	you will be frank with me i always am
70	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/6930-75918-0008.wav	can you imagine why buckingham has been so violent i suspect	can you imagine why buckingham has been so violent i suspect	can you imagine why buckingham has been so violent i suspect
71	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/6930-75918-0009.wav	it is you who are mistaken raoul i have read his distress in his eyes in his every gesture and action the whole day	it is you who are mistaken rowl i have read his distress in his eyes in his every gesture and action the whole day	it is you who are mistaken row i have read his distress in his eyes in his every gesture and action the whole day
72	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/6930-75918-0010.wav	i can perceive love clearly enough	i can perceive love clearly enough	i can perceive love clearly enough
73	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/6930-75918-0011.wav	i am convinced of what i say said the count	i am convinced of what i say said the count	i am convinced of what i say said the count
74	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/6930-75918-0012.wav	it is annoyance then	it is annoyance then	it is annoyance then
75	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/6930-75918-0013.wav	in those very terms i even added more	in those very terms i even added more	in those very terms i even added more
76	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/6930-75918-0014.wav	but continued raoul not interrupted by this movement of his friend heaven be praised the french who are pronounced to be thoughtless and indiscreet reckless even are capable of bringing a calm and sound judgment to bear on matters of such high importance	but continued rowl not interrupted by this movement of his friend heaven be praised the french who are pronounced to be thoughtless and indiscrete reckless even are capable of bringing a calm and sound judgment to bear on matters of such high importance	but continued roll not interrupted by this movement of his friend heaven be praised the french who are pronounced to be thoughtless and indiscreet reckless even are capable of bringing a calm and sound judgment to bear on matters of such high importance
77	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/6930-75918-0015.wav	thus it is that the honor of three is saved our country's our master's and our own	thus it is that the honor of three is saved our country our masters and our own	thus it is that the honor of three is saved our country our masters and our own
78	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/6930-75918-0016.wav	yes i need repose many things have agitated me to day both in mind and body when you return to morrow i shall no longer be the same man	yes i need repose many things have agitated me today both in mind and body when you return to morrow i shall no longer be the same man	yes i need repose many things have agitated me today both in mind and body when you return to morrow i shall no longer be the same man
79	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/6930-75918-0017.wav	but in this friendly pressure raoul could detect the nervous agitation of a great internal conflict	but in this friendly pressure row could detect the nervous agitation of a great internal conflict	but in this friendly pressure row could detect the nervous agitation of a great internal conflict
80	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/6930-75918-0018.wav	the night was clear starlit and splendid the tempest had passed away and the sweet influences of the evening had restored life peace and security everywhere	the night was clear starlet and splendid the tempest had passed away and the sweet influences of the evening had restored life peace and security everywhere	the night was clear starlit and splendid the tempest had passed away and the sweet influences of the evening had restored life peace and security everywhere
81	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/6930-75918-0019.wav	upon the large square in front of the hotel the shadows of the tents intersected by the golden moonbeams formed as it were a huge mosaic of jet and yellow flagstones	upon the large square in front of the hotel the shadows of the tents intersected by the golden moonbeams formed as it were a huge mosaic of jet and yellow flagstones	upon the large square in front of the hotel the shadows of the tents intersected by the golden moonbeams formed as it were a huge mosaic of jet and yellow flagstones
82	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/6930-75918-0020.wav	bragelonne watched for some time the conduct of the two lovers listened to the loud and uncivil slumbers of manicamp who snored as imperiously as though he was wearing his blue and gold instead of his violet suit	bragelon watched for some time the conduct of the two lovers listened to the loud and unsilvish slumbers of manicemp who snored as impiriously as though he was wearing his blue and gold instead of his violet suit	bragelonne watched for some time the conduct of the two lovers listened to the loud and uncivil slumbers of manicamp who snored as imperiously as though he was wearing his blue and gold instead of his violent suit
83	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/6930-81414-0000.wav	no words were spoken no language was uttered save that of wailing and hissing and that somehow was indistinct as if it existed in fancy and not in reality	no words were spoken no language was uttered save that of waling and hissing and that somehow was indistinct as if it existed in fancy and not in reality	no words were spoken no language was uttered save that of wailing and hissing and that somehow was indistinct as if it existed in fancy and not in reality
